ixdat version = 0.2.0dev
name = extended_platinum_ec
technique = EC
tstamp = 1580466722.0
backend_name = BackendBase(none, address=none)
id = 11
timecol 'time/s' for: '$U_{RHE}$ / [V]' and 'raw_current' and 'selector'
aliases = {"t": ["time/s"], "raw_potential": ["$U_{RHE}$ / [V]"], "raw_current": ["raw_current"], "selector": ["selector"]}
N_header_lines = 11

time/s,	$U_{RHE}$ / [V],	raw_current,	selector
16022.968352079391,	1.8636303,	0.050015192,	0
16023.468352079391,	1.8637446999999998,	0.050014555,	0
16023.968352079391,	1.8634393999999999,	0.050020281,	0
16024.468352079391,	1.8633631,	0.050026644,	0
16024.968352079391,	1.8638401,	0.050018374,	0
16025.468352079391,	1.8629626,	0.050015826,	0
16025.968352079391,	1.8639354,	0.050014555,	0
16026.468352079391,	1.862848,	0.050019011,	0
16026.968352079391,	1.8635538,	0.05000883,	0
16027.468352079391,	1.8639926999999998,	0.050006285,	0
16027.968352079391,	1.8640880000000002,	0.0500101,	0
16028.468352079391,	1.8647366,	0.050011374,	0
16028.968352079391,	1.8646984999999998,	0.050011374,	0
16029.468352079391,	1.8643933000000001,	0.050011374,	0
16029.968352079391,	1.8650419,	0.050013918,	0
16030.468352079391,	1.8657477999999998,	0.050006285,	0
16030.968352079391,	1.8651372999999998,	0.050005652,	0
16031.468352079391,	1.8660339000000001,	0.050003104,	0
16031.968352079391,	1.8648319999999998,	0.050007559,	0
16032.468352079391,	1.8645649999999998,	0.050003104,	0
16032.968352079391,	1.8650992,	0.050011374,	0
16033.468352079391,	1.8639926999999998,	0.050008193,	0
16033.968352079391,	1.8641451999999998,	0.050013918,	0
16034.468352079391,	1.8637638,	0.050013918,	0
16034.968352079391,	1.8626763,	0.050021552,	0
16035.468352079391,	1.8630007000000002,	0.050022826,	0
16035.968352079391,	1.8627908,	0.050017737,	0
16036.468352079391,	1.8634013,	0.050027914,	0
16036.968351840973,	1.8634393999999999,	0.050015826,	0
16037.468351840973,	1.8634966,	0.050020281,	0
16037.968351840973,	1.8646794,	0.050020281,	0
16038.468351840973,	1.8653852999999998,	0.0500171,	0
16038.968351840973,	1.8652136000000001,	0.050006285,	0
16039.468351840973,	1.8651372999999998,	0.05000883,	0
16039.968351840973,	1.8649464999999998,	0.050012011,	0
16040.468351840973,	1.8649654999999998,	0.050013285,	0
16040.968351840973,	1.8652327,	0.05000056,	0
16041.468351840973,	1.8650801000000001,	0.0500101,	0
16041.968351840973,	1.8657287,	0.050003745,	0
16042.468351840973,	1.8651564,	0.050003745,	0
16042.968351840973,	1.8651372999999998,	0.050002467,	0
16043.468351840973,	1.8642978000000001,	0.050004374,	0
16043.968351840973,	1.8647176,	0.050015192,	0
16044.468351840973,	1.8646984999999998,	0.050009467,	0
16044.968351840973,	1.8639736,	0.050014555,	0
16045.468351840973,	1.8634203,	0.05000883,	0
16045.968351840973,	1.8645841,	0.0500171,	0
16046.468351840973,	1.8641834,	0.050017737,	0
16046.968351840973,	1.8641071,	0.050020918,	0
16047.468351840973,	1.8649464999999998,	0.050020918,	0
16047.968351840973,	1.8646603000000002,	0.050015826,	0
16048.468351840973,	1.8640499,	0.0500101,	0
16048.968351840973,	1.8644696,	0.0500171,	0
16049.468351840973,	1.8646603000000002,	0.050015192,	0
16049.968351840973,	1.8640308,	0.050016467,	0
16050.468351840973,	1.8642024999999998,	0.05002537,	0
16050.968351840973,	1.8638591,	0.050022826,	0
16051.468351840973,	1.8643741999999999,	0.050003745,	0
16051.968351840973,	1.8650609999999999,	0.050012648,	0
16052.468351840973,	1.8646413000000002,	0.050015192,	0
16052.968351840973,	1.8652707999999998,	0.050015826,	0
16053.468351840973,	1.865805,	0.050011374,	0
16053.968351840973,	1.8657477999999998,	0.049999926,	0
16054.468351840973,	1.8656522999999998,	0.050007559,	0
16054.968351840973,	1.8649274,	0.050003104,	0
16055.468351840973,	1.8656714,	0.05000056,	0
16055.968351840973,	1.8654997,	0.05000883,	0
16056.468351602554,	1.8664918,	0.050007559,	0
16056.968351602554,	1.8655377999999998,	0.05000883,	0
16057.468351602554,	1.8653662,	0.0500101,	0
16057.968351602554,	1.8650419,	0.050030462,	0
16058.468351602554,	1.8650801000000001,	0.05000883,	0
16058.968351602554,	1.8649654999999998,	0.050013285,	0
16059.468351602554,	1.8646031,	0.050019011,	0
16059.968351602554,	1.8646031,	0.050015826,	0
16060.468351602554,	1.8638019,	0.050026007,	0
16060.968351602554,	1.8644124,	0.050014555,	0
16061.468351602554,	1.8644504999999998,	0.050021552,	0
16061.968351602554,	1.8639736,	0.050018374,	0
16062.468351602554,	1.8642978000000001,	0.050005015,	0
16062.968351602554,	1.8644696,	0.050003745,	0
16063.468351602554,	1.8652136000000001,	0.050012011,	0
16063.968351602554,	1.8646794,	0.050005015,	0
16064.468351602554,	1.8655951000000002,	0.050011374,	0
16064.968351602554,	1.8656714,	0.050003104,	0
16065.468351602554,	1.8667588,	0.050007559,	0
16065.968351602554,	1.8666633999999998,	0.050005652,	0
16066.468351602554,	1.8658812999999999,	0.050004374,	0
16066.968351602554,	1.866072,	0.050010741,	0
16067.468351602554,	1.8661674000000001,	0.050012648,	0
16067.968351602554,	1.8666062,	0.050003745,	0
