name = spectra_0.66V
technique = spectrum
N_header_lines = 8
tstamp = 1
backend_name = BackendBase(none, address=none)
id = 2

wavelength / [nm],spectra_0.66V
669.98901,55214.2
670.40497,55240.0333333333
670.82092,55316.9
671.23682,55363.6666666667
671.65271,55450.9666666667
672.0686,55462.7333333333
672.4845,55575.1333333333
672.90033,55608.6
673.31622,55672.9333333333
673.73199,55699.4333333333
674.14783,55764.1333333333
674.5636,55832.7333333333
674.97937,55860.4
675.39514,55926.0666666667
675.81085,56016.6
676.22656,56021.6666666667
676.64227,56060.4
677.05792,56104.4333333333
677.47357,56154.2333333333
677.88922,56164.8666666667
678.30487,56220.5666666667
678.72046,56274.7333333333
679.13605,56275.1333333333
679.55164,56326.4
679.96716,56342.8333333333
680.38269,56363.9666666667
680.79822,56435.3
681.21375,56444.8666666667
681.62921,56469.2
682.04468,56491.0
682.46008,56498.3666666667
682.87555,56520.8
683.29095,56588.4666666667
683.7063,56583.5333333333
684.1217,56620.7666666667
684.53705,56628.1666666667
684.95239,56670.8333333333
685.36768,56683.7333333333
685.78296,56682.4333333333
686.19824,56724.2666666667
686.61353,56748.8333333333
687.02875,56732.7333333333
687.44397,56741.7333333333
687.85919,56773.8666666667
688.27435,56755.3666666667
688.68951,56771.9
689.10468,56769.1666666667
689.51984,56822.9666666667
689.93494,56785.1666666667
690.35004,56810.7333333333
690.76508,56798.4333333333
691.18011,56846.0
691.59515,56841.5
692.01019,56872.9
692.42517,56815.0333333333
692.84015,56843.2666666667
693.25513,56880.5
693.67004,56846.5
694.08502,56875.5333333333
694.49988,56867.4
694.91479,56894.5333333333
695.32965,56907.5
695.74451,56885.2333333333
696.1593,56849.9666666667
696.57416,56896.2
696.98889,56884.0666666667
697.40369,56923.6
697.81842,56908.6666666667
698.23315,56891.3666666667
698.64789,56974.8
699.06256,56936.3666666667
699.47723,56950.6333333333
699.89191,56933.4666666667
700.30658,56910.6
700.72119,56954.2666666667
701.13574,56981.8666666667
701.55035,56979.9333333333
701.9649,56999.8666666667
702.37946,56993.4
702.79395,57014.5333333333
703.20844,57004.1
703.62292,56995.7
704.03741,57032.5333333333
704.45184,57030.9666666667
704.86627,57072.2333333333
705.2807,57012.1
705.69507,57047.8333333333
706.10944,57052.0666666667
706.52374,57088.4333333333
706.93811,57044.5666666667
707.35242,57041.7666666667
707.76666,57038.0666666667
708.18097,57061.0666666667
708.59521,57068.8
709.0094,57061.0666666667
