ixdat version = 0.2.5
name = C:\Users\scott\Dropbox\ixdat_resources\test_data\sec\test-7SEC.csv
technique = EC-Optical
tstamp = 1
backend_name = BackendBase(none, address=none)
id = 1
timecol 'time from scan rate' for: '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]' and 'selector'
aliases = {"raw_potential": ["$U_{RHE}$ / [V]"], "raw_current": ["J / [mA cm$^{-2}$]"], "t": ["time from scan rate"]}
'spectrum_series' in file: 'exported_sec_spectra.csv'
'reference_spectrum' in file: 'exported_sec_reference.csv'
N_header_lines = 13

time from scan rate,	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$],	selector
163.00000000000003,	0.823,	0.031564299999999997,	0
164.00000000000003,	0.824,	0.031077900000000002,	0
165.00000000000003,	0.825,	0.031501999999999995,	0
166.00000000000003,	0.826,	0.031402200000000005,	0
167.00000000000003,	0.827,	0.0313897,	0
168.00000000000003,	0.828,	0.0312525,	0
169.00000000000003,	0.829,	0.0315768,	0
170.00000000000003,	0.83,	0.0312899,	0
171.00000000000003,	0.831,	0.031127799999999997,	0
172.00000000000003,	0.832,	0.0316641,	0
173.00000000000003,	0.833,	0.0312151,	0
174.00000000000003,	0.834,	0.0316267,	0
175.00000000000003,	0.835,	0.0315893,	0
176.00000000000003,	0.836,	0.031477,	0
177.00000000000003,	0.837,	0.0316392,	0
178.00000000000003,	0.838,	0.031402200000000005,	0
179.00000000000003,	0.839,	0.031140299999999996,	0
180.00000000000003,	0.84,	0.0316766,	0
181.00000000000003,	0.841,	0.0313523,	0
182.00000000000003,	0.842,	0.0313523,	0
183.00000000000003,	0.843,	0.031464599999999995,	0
184.00000000000003,	0.844,	0.0314271,	0
185.00000000000003,	0.845,	0.031763900000000005,	0
186.00000000000003,	0.846,	0.0316516,	0
187.00000000000003,	0.847,	0.0313024,	0
188.00000000000003,	0.848,	0.0315893,	0
189.00000000000003,	0.849,	0.0313024,	0
190.00000000000003,	0.85,	0.0313523,	0
191.00000000000003,	0.851,	0.0315893,	0
192.00000000000006,	0.852,	0.031601699999999996,	0
193.00000000000006,	0.853,	0.031452100000000004,	0
194.00000000000006,	0.854,	0.0313024,	0
195.00000000000006,	0.855,	0.031227599999999998,	0
196.00000000000006,	0.856,	0.031090400000000004,	0
197.00000000000006,	0.857,	0.031090400000000004,	0
198.00000000000006,	0.858,	0.0313398,	0
199.00000000000006,	0.859,	0.031464599999999995,	0
200.00000000000006,	0.86,	0.0312899,	0
201.00000000000006,	0.861,	0.0313024,	0
202.00000000000006,	0.862,	0.0313897,	0
203.00000000000006,	0.863,	0.031090400000000004,	0
204.00000000000006,	0.864,	0.031165199999999997,	0
